segment_type,segment,n,mae,rmse,median_ae,mean_error,within_2fold,within_4fold
duplicate_count_bin,6-10,35,0.5219206532219234,0.617665539176432,0.427094410629026,0.016356446474587782,0.2571428571428571,0.6571428571428571
duplicate_count_bin,1,12959,0.4389806772474394,0.5961730274178185,0.33466187499482647,0.027562677199883357,0.4581372019445945,0.7452735550582607
duplicate_count_bin,3-5,288,0.4241512260933526,0.5591810965533339,0.35087578382163065,0.07031577269926982,0.4513888888888889,0.7534722222222222
duplicate_count_bin,2,705,0.4012426772984335,0.5297323239326839,0.31693237430382126,0.07425050491211697,0.47801418439716314,0.7815602836879433
genus,Lactococcus,51,0.6633606149592121,0.8643213256069486,0.46464165017547,0.34144115074814146,0.39215686274509803,0.5490196078431373
genus,Cutibacterium,34,0.623270583757216,0.7732295590934662,0.5040347129759745,-0.12253948732544433,0.4411764705882353,0.6176470588235294
genus,Aeromonas,68,0.6023738453824893,0.761146140536543,0.511325945344427,-0.05304102342516817,0.3235294117647059,0.5882352941176471
genus,Shigella,91,0.5947786224623974,0.7919273555881242,0.4584107736533911,0.1631902114010089,0.34065934065934067,0.6593406593406593
genus,Listeria,195,0.5940965428279538,0.8070157996365185,0.4462359209945182,0.052468596730109195,0.36923076923076925,0.6461538461538462
genus,Vibrio,233,0.555979106432658,0.7642526083328026,0.4028829693310665,0.03995642184722468,0.36909871244635195,0.6437768240343348
genus,Serratia,50,0.5509839927580091,0.6751468920342371,0.5173428462126093,-0.23519903365057232,0.34,0.58
genus,Priestia,69,0.5400576452609102,0.684204925687647,0.4505262309462579,0.07285922190631074,0.391304347826087,0.6231884057971014
genus,Unknown,39,0.5281559337693421,0.6567593282548377,0.506886214287501,0.02458300606417609,0.3076923076923077,0.6923076923076923
genus,Mycobacterium,48,0.5155774209524112,0.7005055762288327,0.3244356486454697,0.07468359374329028,0.4791666666666667,0.625
genus,Micrococcus,215,0.49503757210759713,0.6474075386050799,0.39792472380587274,0.03362133415531289,0.4232558139534884,0.6744186046511628
genus,Streptococcus,341,0.4746807944556113,0.6273222056520267,0.37749115141280176,0.0681022379314363,0.41348973607038125,0.7067448680351907
genus,Enterococcus,633,0.4701328373048397,0.6754273139615231,0.3512914174132189,0.05707362508187104,0.4218009478672986,0.7251184834123223
genus,Corynebacterium,50,0.4699881274514429,0.588496260189687,0.4810280582895606,0.04873581601390756,0.4,0.64
genus,Enterobacter,109,0.4608288663120033,0.6077905075099342,0.29147245988361514,0.005044897039103006,0.5137614678899083,0.6697247706422018
genus,Yersinia,38,0.44319682364381474,0.6699511339559627,0.3202205488597566,0.18697345956028608,0.4473684210526316,0.8157894736842105
genus,Bacillus,767,0.4412779607718438,0.58098832535483,0.34441943892998406,0.02099815340165243,0.44198174706649285,0.7327249022164276
genus,Salmonella,747,0.43614285955531784,0.5797627805330803,0.33301034671147756,-0.01601198965866345,0.45515394912985274,0.7657295850066934
genus,Staphylococcus,3223,0.42671747386016257,0.5607462180633885,0.3384315540126519,0.021610331666924283,0.4564070741545144,0.7505429723859758
genus,Acinetobacter,598,0.4177156523325113,0.5335949913921549,0.3475437069332061,0.05010042896205458,0.4280936454849498,0.7625418060200669
genus,Pseudomonas,1907,0.41121310378563947,0.5464943710670565,0.32013184859071453,0.0375204378499926,0.4740429994756162,0.7656004195070791
genus,Escherichia,2690,0.40626701371179275,0.5376654088773183,0.3168298487695548,0.01675165967374577,0.4784386617100372,0.775092936802974
genus,Klebsiella,736,0.3975688646990479,0.5253701123743731,0.31934321514711345,-0.004904547356799846,0.4741847826086957,0.7744565217391305
genus,Xanthomonas,56,0.3925115313436923,0.5157103686936435,0.2969205398760342,0.07395828242082421,0.5178571428571429,0.7678571428571429
genus,Proteus,82,0.3893876227221701,0.5002559799216753,0.30703029779101726,0.01855830099433972,0.5,0.7926829268292683
genus,Stenotrophomonas,48,0.35330599151557257,0.4673488855357851,0.25643091256103406,-0.003202614950502135,0.5416666666666666,0.8541666666666666
genus,Cronobacter,35,0.2446859942833849,0.30074082024765303,0.1804595816603154,0.01650020424881608,0.7714285714285715,0.9714285714285714
genus,Bacteroides,84,0.22095542153399914,0.30763015879778627,0.15363691977739857,-0.028356254965311557,0.7857142857142857,0.9047619047619048
genus,Lacticaseibacillus,86,0.21483320128345565,0.33168309733944934,0.13040826924439997,-0.022569383193632175,0.7441860465116279,0.9186046511627907
gram_status,gram_positive,6047,0.4616745760199427,0.6354565497583864,0.35018316458642884,0.043144877635068926,0.4428642301967918,0.7256490821895155
gram_status,gram_negative,7948,0.4180171631091837,0.5570438449282761,0.32325250415155754,0.021284030118716955,0.47055863110216406,0.7634625062908907
length_bin,>40,799,0.7031610198581261,0.9666396820999259,0.5244002673348216,0.2293975830859765,0.30663329161451813,0.5481852315394243
length_bin,21-40,4260,0.47107194155329024,0.6260611637840297,0.3680342959440669,0.03172214415776789,0.4251173708920188,0.714319248826291
length_bin,11-20,6845,0.4011095367369957,0.5239151546260283,0.31820045465409696,0.019708904557555484,0.47684441197954713,0.772972972972973
length_bin,<=10,2091,0.3825727731879443,0.541397098785887,0.28715949273100283,-0.011128602702740058,0.5251076040172167,0.8053562888570062
log_mic_bin,log_mic_q_-4.53_0.72,3499,0.6474568417611393,0.8362826786948665,0.5396267443222971,0.6038090800190012,0.2717919405544441,0.5558731066018863
log_mic_bin,log_mic_q_1.88_4.27,3499,0.50839249211922,0.6430964170849923,0.41879512616543746,-0.4731212501888319,0.3741068876821949,0.6556158902543584
log_mic_bin,log_mic_q_1.29_1.88,3496,0.2974115177098602,0.38220156202256894,0.24230217189125725,-0.1417458045412875,0.5901029748283753,0.8830091533180778
log_mic_bin,log_mic_q_0.72_1.29,3501,0.2942242469075514,0.37911199142356006,0.23927916099024915,0.13377011212322285,0.5984004570122822,0.8940302770636961
overall,all,13995,0.43688078410749454,0.5921998801658246,0.3342862710843777,0.030729728220280403,0.4585923544122901,0.7471239728474455
phylum,Actinomycetota,462,0.5988735097056029,0.8579136732203525,0.45334932034942077,0.11602100077029932,0.3961038961038961,0.6212121212121212
phylum,Unknown,39,0.5281559337693421,0.6567593282548377,0.506886214287501,0.02458300606417609,0.3076923076923077,0.6923076923076923
phylum,Bacillota,5551,0.44978513938643017,0.6130631388640253,0.34431261542751124,0.03737685988242378,0.44766708701134933,0.7346424067735543
phylum,Pseudomonadota,7736,0.41993594534267803,0.5588872358018163,0.3256436612768261,0.019895132268728195,0.46664943123061015,0.7625387797311272
phylum,Bacteroidota,144,0.2592008202428537,0.3662190952015087,0.202292963448631,-0.03721681386381887,0.7291666666666666,0.8819444444444444
